ATVI
ADBE
AKAM
ALTR
AMZN
AMGN
APOL
AAPL
AMAT
ADSK
ADP
BIDU
BBBY
BIIB
BMC
BRCM
CHRW
CA
CELG
CEPH
CERN
CHKP
CSCO
CTXS
CTSH
CMCSA
COST
CTRP
DELL
XRAY
DTV
DLTR
EBAY
ERTS
EXPE
EXPD
ESRX
FFIV
FAST
FSLR
FISV
FLEX
FLIR
GRMN
GENZ
GILD
GOOG
HSIC
ILMN
INFY
INTC
INTU
ISRG
JOYG
KLAC
LRCX
LINTA
LIFE
LLTC
MRVL
MAT
MXIM
MCHP
MU
MSFT
MICC
MYL
NTAP
NFLX
NWSA
NIHD
NVDA
ORCL
ORLY
PCAR
PAYX
PCLN
QGEN
QCOM
RIMM
ROST
SNDK
STX
SHLD
SIAL
SPLS
SBUX
SRCL
SYMC
TEVA
URBN
VRSN
VRTX
VMED
VOD
WCRX
WFMI
WYNN
XLNX
YHOO
